epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
78,226.603,0.00632,0.92,1,0.13612,0.000169718,0.000169718,0.000169718
79,229.342,0.00959,0.92,1,0.14228,0.000162649,0.000162649,0.000162649
80,232.197,0.00443,0.92,1,0.14036,0.000155581,0.000155581,0.000155581
81,235.093,0.01549,0.92,1,0.13289,0.000148512,0.000148512,0.000148512
82,237.831,0.00908,0.92,1,0.13722,0.000141443,0.000141443,0.000141443
83,240.435,0.01218,0.92,1,0.14508,0.000134375,0.000134375,0.000134375
84,243.172,0.00509,0.92,1,0.12646,0.000127306,0.000127306,0.000127306
85,245.976,0.01393,0.92,1,0.12812,0.000120238,0.000120238,0.000120238
86,248.763,0.00636,0.92,1,0.13558,0.000113169,0.000113169,0.000113169
87,251.652,0.00539,0.92,1,0.12471,0.0001061,0.0001061,0.0001061
88,254.428,0.00545,0.92,1,0.1331,9.90318e-05,9.90318e-05,9.90318e-05
89,257.107,0.01517,0.92,1,0.13518,9.19632e-05,9.19632e-05,9.19632e-05
90,259.697,0.02149,0.92,1,0.14176,8.48946e-05,8.48946e-05,8.48946e-05
91,262.193,0.00727,0.92,1,0.14116,7.7826e-05,7.7826e-05,7.7826e-05
92,264.742,0.00319,0.92,1,0.13856,7.07574e-05,7.07574e-05,7.07574e-05
93,267.491,0.02959,0.92,1,0.1415,6.36888e-05,6.36888e-05,6.36888e-05
94,270.311,0.01749,0.92,1,0.13557,5.66202e-05,5.66202e-05,5.66202e-05
95,273.176,0.00958,0.92,1,0.1326,4.95516e-05,4.95516e-05,4.95516e-05
96,276.105,0.0072,0.92,1,0.12647,4.2483e-05,4.2483e-05,4.2483e-05
97,278.977,0.01939,0.92,1,0.12319,3.54144e-05,3.54144e-05,3.54144e-05
98,281.787,0.00395,0.92,1,0.12127,2.83458e-05,2.83458e-05,2.83458e-05
99,284.784,0.00823,0.92,1,0.1077,2.12772e-05,2.12772e-05,2.12772e-05
100,287.851,0.00911,0.92,1,0.13462,1.42086e-05,1.42086e-05,1.42086e-05
